,Unemployment Rate,state
0,5.9,01
1,7.2,02
2,5.9,04
3,5.1,05
4,6.1,06
5,4.3,08
6,5.5,10
7,6.9,11
8,6.0,09
9,5.6,12
10,5.7,13
11,4.3,16
12,4.3,15
13,5.9,17
14,4.8,18
15,3.7,19
16,4.1,20
17,5.6,21
18,6.5,22
19,4.1,23
20,5.1,24
21,4.8,25
22,5.9,26
23,3.6,27
24,7.5,28
25,4.6,29
26,4.0,30
27,3.3,31
28,6.2,32
29,3.6,33
30,5.5,34
31,6.7,35
32,5.5,36
33,5.6,37
34,2.8,38
35,5.3,39
36,5.1,40
37,5.5,41
38,5.3,42
39,5.4,44
40,5.8,45
41,3.4,46
42,5.3,47
43,5.1,48
44,3.6,50
45,3.6,49
46,4.6,51
47,5.0,53
48,6.5,54
49,3.6,55
50,4.5,56
51,16.1,72
